Date,Product_ID,Product_Category,Units_Sold,Unit_Price,Total_Revenue,Stock_Level
2023-01-01,101,Electronics,17,116.04,1972.74,23
2023-01-01,102,Electronics,15,86.47,1297.03,49
2023-01-01,103,Electronics,14,467.96,6551.51,157
2023-01-01,201,Clothing,9,481.62,4334.6,117
2023-01-01,202,Clothing,34,14.43,490.64,89
2023-01-01,203,Clothing,46,288.72,13280.93,45
2023-01-01,301,Groceries,47,22.32,1049.22,194
2023-01-01,302,Groceries,40,49.46,1978.29,152
2023-01-01,303,Groceries,6,5.53,33.16,99
2023-01-02,101,Electronics,4,342.73,1370.92,179
2023-01-02,102,Electronics,45,171.17,7702.73,81
2023-01-02,103,Electronics,46,384.49,17686.63,92
2023-01-02,201,Clothing,1,190.65,190.65,21
2023-01-02,202,Clothing,26,487.75,12681.43,143
2023-01-02,203,Clothing,34,263.5,8958.89,52
2023-01-02,301,Groceries,49,27.84,1363.93,72
2023-01-02,302,Groceries,39,29.29,1142.37,55
2023-01-02,303,Groceries,18,42.45,764.17,125
2023-01-03,101,Electronics,43,259.23,11146.83,183
2023-01-03,102,Electronics,32,279.66,8949.05,104
2023-01-03,103,Electronics,7,16.62,116.36,192
2023-01-03,201,Clothing,46,149.96,6898.37,130
2023-01-03,202,Clothing,12,98.4,1180.78,17
2023-01-03,203,Clothing,12,189.77,2277.28,36
2023-01-03,301,Groceries,22,5.81,127.82,163
2023-01-03,302,Groceries,38,25.55,970.73,104
2023-01-03,303,Groceries,44,25.05,1102.35,136
2023-01-04,101,Electronics,45,333.63,15013.51,112
2023-01-04,102,Electronics,40,306.45,12257.98,23
2023-01-04,103,Electronics,16,306.18,4898.92,162
2023-01-04,201,Clothing,48,234.6,11261.03,15
2023-01-04,202,Clothing,9,99.97,899.73,79
2023-01-04,203,Clothing,1,326.92,326.92,184
2023-01-04,301,Groceries,22,18.23,401.16,91
2023-01-04,302,Groceries,41,37.08,1520.24,103
2023-01-04,303,Groceries,32,15.3,489.68,28
2023-01-05,101,Electronics,17,265.68,4516.53,41
2023-01-05,102,Electronics,4,322.03,1288.11,179
2023-01-05,103,Electronics,34,30.41,1033.83,5
2023-01-05,201,Clothing,44,181.79,7998.91,5
2023-01-05,202,Clothing,48,110.41,5299.46,41
2023-01-05,203,Clothing,23,349.87,8047.1,98
2023-01-05,301,Groceries,24,13.71,328.94,187
2023-01-05,302,Groceries,13,29.98,389.79,139
2023-01-05,303,Groceries,35,6.39,223.61,1
2023-01-06,101,Electronics,28,422.17,11820.73,54
2023-01-06,102,Electronics,7,200.27,1401.92,70
2023-01-06,103,Electronics,17,161.28,2741.72,153
2023-01-06,201,Clothing,29,278.54,8077.75,86
2023-01-06,202,Clothing,2,323.14,646.28,60
2023-01-06,203,Clothing,40,236.93,9477.07,33
2023-01-06,301,Groceries,33,23.73,783.2,133
2023-01-06,302,Groceries,13,33.04,429.53,43
2023-01-06,303,Groceries,48,38.84,1864.18,190
2023-01-07,101,Electronics,30,145.38,4361.43,19
2023-01-07,102,Electronics,50,179.82,8991.02,0
2023-01-07,103,Electronics,5,211.13,1055.67,129
2023-01-07,201,Clothing,17,421.45,7164.62,65
2023-01-07,202,Clothing,33,37.76,1246.02,6
2023-01-07,203,Clothing,9,334.2,3007.81,40
2023-01-07,301,Groceries,49,35.34,1731.66,166
2023-01-07,302,Groceries,9,35.31,317.75,193
2023-01-07,303,Groceries,42,31.88,1339.11,84
2023-01-08,101,Electronics,23,172.11,3958.54,195
2023-01-08,102,Electronics,20,235.48,4709.64,57
2023-01-08,103,Electronics,2,85.86,171.72,170
2023-01-08,201,Clothing,24,42.1,1010.46,141
2023-01-08,202,Clothing,10,371.19,3711.9,124
2023-01-08,203,Clothing,6,52.67,316.01,4
2023-01-08,301,Groceries,25,33.93,848.25,16
2023-01-08,302,Groceries,43,15.69,674.63,167
2023-01-08,303,Groceries,3,25.41,76.22,66
2023-01-09,101,Electronics,29,476.03,13804.89,83
2023-01-09,102,Electronics,23,470.85,10829.62,28
2023-01-09,103,Electronics,19,201.82,3834.5,60
2023-01-09,201,Clothing,34,276.3,9394.31,71
2023-01-09,202,Clothing,47,473.9,22273.12,45
2023-01-09,203,Clothing,15,27.05,405.76,134
2023-01-09,301,Groceries,26,40.22,1045.72,182
2023-01-09,302,Groceries,46,42.68,1963.36,164
2023-01-09,303,Groceries,3,49.25,147.76,143
2023-01-10,101,Electronics,24,247.05,5929.16,28
2023-01-10,102,Electronics,29,422.78,12260.61,107
2023-01-10,103,Electronics,27,332.01,8964.29,30
2023-01-10,201,Clothing,44,259.88,11434.8,89
2023-01-10,202,Clothing,25,234.99,5874.63,147
2023-01-10,203,Clothing,35,479.74,16790.85,28
2023-01-10,301,Groceries,41,13.8,565.62,28
2023-01-10,302,Groceries,21,21.98,461.59,11
2023-01-10,303,Groceries,8,45.34,362.74,164
2023-01-11,101,Electronics,4,166.31,665.25,179
2023-01-11,102,Electronics,40,427.4,17096.13,79
2023-01-11,103,Electronics,33,432.11,14259.76,144
2023-01-11,201,Clothing,17,445.96,7581.4,2
2023-01-11,202,Clothing,23,250.3,5756.96,11
2023-01-11,203,Clothing,46,155.88,7170.6,40
2023-01-11,301,Groceries,37,27.56,1019.79,181
2023-01-11,302,Groceries,17,27.66,470.23,60
2023-01-11,303,Groceries,8,20.25,162.02,25
2023-01-12,101,Electronics,8,146.92,1175.39,2
2023-01-12,102,Electronics,20,284.1,5682.05,8
2023-01-12,103,Electronics,20,246.82,4936.37,55
2023-01-12,201,Clothing,49,171.37,8397.15,181
2023-01-12,202,Clothing,18,184.87,3327.73,103
2023-01-12,203,Clothing,35,228.5,7997.54,88
2023-01-12,301,Groceries,27,29.88,806.78,7
2023-01-12,302,Groceries,11,6.58,72.38,76
2023-01-12,303,Groceries,23,25.33,582.52,180
